imdb_id,name,role,title,type,url,year
tt0368008,Al Franken,actor,The Manchurian Candidate,Film,http://www.imdb.com/title/tt0368008/,2004
tt0120570,Al Franken,actor,From the Earth to the MoonCan We Do This?,Film,http://www.imdb.com/title/tt0120570/,1998
tt0167880,Al Franken,actor,The Definite Maybe,Film,http://www.imdb.com/title/tt0167880/,1997
tt0114571,Al Franken,actor,Stuart Saves His Family,Film,http://www.imdb.com/title/tt0114571/,1995
tt0111693,Al Franken,actor,When a Man Loves a Woman,Film,http://www.imdb.com/title/tt0111693/,1994
tt2248903,Al Franken,actor,"MTV, Give Me Back My Life: A Harvard Lampoon Parody",Film,http://www.imdb.com/title/tt2248903/,1991
tt0303111,Al Franken,actor,Superman 50th Anniversary,Film,http://www.imdb.com/title/tt0303111/,1988
tt0091681,Al Franken,actor,One More Saturday Night,Film,http://www.imdb.com/title/tt0091681/,1986
tt2967372,Al Franken,actor,Tab Lloyd: Investigative Reporter,Film,http://www.imdb.com/title/tt2967372/,1985
tt0086465,Al Franken,actor,Trading Places,Film,http://www.imdb.com/title/tt0086465/,1983
tt0077147,Al Franken,actor,The Rutles: All You Need Is Cash,Film,http://www.imdb.com/title/tt0077147/,1978
tt0075357,Al Franken,actor,Tunnel Vision,Film,http://www.imdb.com/title/tt0075357/,1976
tt0266934,Al Franken,producer,Saturday Night Live: Presidential Bash 2000,Film,http://www.imdb.com/title/tt0266934/,2000
tt0111693,Al Franken,producer,When a Man Loves a Woman,Film,http://www.imdb.com/title/tt0111693/,1994
tt0424406,Al Franken,producer,Saturday Night Live: Presidential Bash,Film,http://www.imdb.com/title/tt0424406/,1992
tt0274793,Al Franken,producer,Saturday Night Live Goes Commercial,Film,http://www.imdb.com/title/tt0274793/,1991
tt0344303,Al Franken,producer,Saturday Night Live: 15th Anniversary,Film,http://www.imdb.com/title/tt0344303/,1989
tt1003289,Al Franken,writer,Saturday Night Live in the '90s: Pop Culture Nation,Film,http://www.imdb.com/title/tt1003289/,2007
tt0899167,Al Franken,writer,Saturday Night Live: The Best of Jon Lovitz,Film,http://www.imdb.com/title/tt0899167/,2005
tt0442668,Al Franken,writer,The First Amendment Project: Fox vs. Franken,Film,http://www.imdb.com/title/tt0442668/,2004
tt0266934,Al Franken,writer,Saturday Night Live: Presidential Bash 2000,Film,http://www.imdb.com/title/tt0266934/,2000
tt0500149,Al Franken,writer,Saturday Night Live 25,Film,http://www.imdb.com/title/tt0500149/,1999
tt0500100,Al Franken,writer,Saturday Night Live: The Best of Chris Farley,Film,http://www.imdb.com/title/tt0500100/,1998
tt0500148,Al Franken,writer,Saturday Night Live: The Best of Phil Hartman,Film,http://www.imdb.com/title/tt0500148/,1998
tt0114571,Al Franken,writer,Stuart Saves His Family,Film,http://www.imdb.com/title/tt0114571/,1995
tt0268875,Al Franken,writer,The 67th Annual Academy Awards,Film,http://www.imdb.com/title/tt0268875/,1995
tt0111693,Al Franken,writer,When a Man Loves a Woman,Film,http://www.imdb.com/title/tt0111693/,1994
tt0424406,Al Franken,writer,Saturday Night Live: Presidential Bash,Film,http://www.imdb.com/title/tt0424406/,1992
tt2248845,Al Franken,writer,Indecision '92: The Republican National Convention,Film,http://www.imdb.com/title/tt2248845/,1992
tt2244923,Al Franken,writer,Indecision '92: The Democratic National Convention,Film,http://www.imdb.com/title/tt2244923/,1992
tt0274793,Al Franken,writer,Saturday Night Live Goes Commercial,Film,http://www.imdb.com/title/tt0274793/,1991
tt0196072,Al Franken,writer,Saturday Night Live: The Best of Robin Williams,Film,http://www.imdb.com/title/tt0196072/,1991
tt0344303,Al Franken,writer,Saturday Night Live: 15th Anniversary,Film,http://www.imdb.com/title/tt0344303/,1989
tt1051977,Al Franken,writer,The 40th Annual Primetime Emmy Awards,Film,http://www.imdb.com/title/tt1051977/,1988
tt0496482,Al Franken,writer,The Best of Chevy Chase,Film,http://www.imdb.com/title/tt0496482/,1987
tt0310736,Al Franken,writer,The Best of Dan Aykroyd,Film,http://www.imdb.com/title/tt0310736/,1986
tt0091681,Al Franken,writer,One More Saturday Night,Film,http://www.imdb.com/title/tt0091681/,1986
tt0088790,Al Franken,writer,The Best of John Belushi,Film,http://www.imdb.com/title/tt0088790/,1985
tt0333467,Al Franken,writer,Franken and Davis at Stockton State,Film,http://www.imdb.com/title/tt0333467/,1984
tt0356076,Al Franken,writer,Steve Martin's Best Show Ever,Film,http://www.imdb.com/title/tt0356076/,1981
tt0078888,Al Franken,writer,"Bob & Ray, Jane, Laraine & Gilda (TV Special)",Film,http://www.imdb.com/title/tt0078888/,1979
tt0336994,Al Franken,writer,The Paul Simon Special,Film,http://www.imdb.com/title/tt0336994/,1977
tt6932874,Alec Baldwin,actor,The Boss Baby 2announced,Film,http://www.imdb.com/title/tt6932874/,2021
tt4426464,Alec Baldwin,actor,Arctic Justicefilming,Film,http://www.imdb.com/title/tt4426464/,2018
tt4912910,Alec Baldwin,actor,M:I 6 - Mission Impossiblefilming,Film,http://www.imdb.com/title/tt4912910/,2018
tt5640036,Alec Baldwin,actor,A Few Good Menpre-production,Film,http://www.imdb.com/title/tt5640036/,2018
tt3294746,Alec Baldwin,actor,The Publiccompleted,Film,http://www.imdb.com/title/tt3294746/,2017
tt5037840,Alec Baldwin,actor,Drunk Parents,Film,http://www.imdb.com/title/tt5037840/,2017
tt6469960,Alec Baldwin,actor,The Private Life of a Modern Woman,Film,http://www.imdb.com/title/tt6469960/,2017
tt1217217,Alec Baldwin,actor,Saturday Night Live: Weekend Update ThursdayEpisode #4.3,Film,http://www.imdb.com/title/tt1217217/,2017
tt1935089,Alec Baldwin,actor,Blind,Film,http://www.imdb.com/title/tt1935089/,2017
tt3874544,Alec Baldwin,actor,The Boss Baby,Film,http://www.imdb.com/title/tt3874544/,2017
tt1974420,Alec Baldwin,actor,Rules Don't Apply,Film,http://www.imdb.com/title/tt1974420/,2016
tt4429194,Alec Baldwin,actor,Paris Can Wait,Film,http://www.imdb.com/title/tt4429194/,2016
tt3349772,Alec Baldwin,actor,Back in the Day,Film,http://www.imdb.com/title/tt3349772/,2016
tt3322364,Alec Baldwin,actor,Concussion,Film,http://www.imdb.com/title/tt3322364/,2015
tt4073890,Alec Baldwin,actor,Andron,Film,http://www.imdb.com/title/tt4073890/,2015
tt2381249,Alec Baldwin,actor,Mission: Impossible - Rogue Nation,Film,http://www.imdb.com/title/tt2381249/,2015
tt1243974,Alec Baldwin,actor,Aloha,Film,http://www.imdb.com/title/tt1243974/,2015
tt3321428,Alec Baldwin,actor,Torrente 5: Operación Eurovegas,Film,http://www.imdb.com/title/tt3321428/,2014
tt3316960,Alec Baldwin,actor,Still Alice,Film,http://www.imdb.com/title/tt3316960/,2014
tt2334873,Alec Baldwin,actor,Blue Jasmine,Film,http://www.imdb.com/title/tt2334873/,2013
tt1721672,Alec Baldwin,actor,AmeriQua,Film,http://www.imdb.com/title/tt1721672/,2013
tt1446192,Alec Baldwin,actor,Rise of the Guardians,Film,http://www.imdb.com/title/tt1446192/,2012
tt1336608,Alec Baldwin,actor,Rock of Ages,Film,http://www.imdb.com/title/tt1336608/,2012
tt3267158,Alec Baldwin,actor,Thomas & Friends: Engine Friends,Film,http://www.imdb.com/title/tt3267158/,2012
tt1859650,Alec Baldwin,actor,To Rome with Love,Film,http://www.imdb.com/title/tt1859650/,2012
tt1205558,Alec Baldwin,actor,Hick,Film,http://www.imdb.com/title/tt1205558/,2011
tt6454770,Alec Baldwin,actor,Thomas & Friends: The Greatest Stories,Film,http://www.imdb.com/title/tt6454770/,2010
tt1230414,Alec Baldwin,actor,It's Complicated,Film,http://www.imdb.com/title/tt1230414/,2009
tt1078588,Alec Baldwin,actor,My Sister's Keeper,Film,http://www.imdb.com/title/tt1078588/,2009
tt0479952,Alec Baldwin,actor,Madagascar: Escape 2 Africa,Film,http://www.imdb.com/title/tt0479952/,2008
tt1046163,Alec Baldwin,actor,My Best Friend's Girl,Film,http://www.imdb.com/title/tt1046163/,2008
tt0363780,Alec Baldwin,actor,Lymelife,Film,http://www.imdb.com/title/tt0363780/,2008
tt0283503,Alec Baldwin,actor,Brooklyn Rules,Film,http://www.imdb.com/title/tt0283503/,2007
tt0428579,Alec Baldwin,actor,Suburban Girl,Film,http://www.imdb.com/title/tt0428579/,2007
tt0343737,Alec Baldwin,actor,The Good Shepherd,Film,http://www.imdb.com/title/tt0343737/,2006
tt0439289,Alec Baldwin,actor,Running with Scissors,Film,http://www.imdb.com/title/tt0439289/,2006
tt0407887,Alec Baldwin,actor,The Departed,Film,http://www.imdb.com/title/tt0407887/,2006
tt3124546,Alec Baldwin,actor,Thomas & Friends: Halloween Adventures,Film,http://www.imdb.com/title/tt3124546/,2006
tt0425253,Alec Baldwin,actor,Mini's First Time,Film,http://www.imdb.com/title/tt0425253/,2006
tt0369441,Alec Baldwin,actor,Fun with Dick and Jane,Film,http://www.imdb.com/title/tt0369441/,2005
tt0368709,Alec Baldwin,actor,Elizabethtown,Film,http://www.imdb.com/title/tt0368709/,2005
tt0338751,Alec Baldwin,actor,The Aviator,Film,http://www.imdb.com/title/tt0338751/,2004
tt0345950,Alec Baldwin,actor,The SpongeBob SquarePants Movie,Film,http://www.imdb.com/title/tt0345950/,2004
tt0357054,Alec Baldwin,actor,The Last Shot,Film,http://www.imdb.com/title/tt0357054/,2004
tt0343135,Alec Baldwin,actor,Along Came Polly,Film,http://www.imdb.com/title/tt0343135/,2004
tt0423371,Alec Baldwin,actor,Thomas & Friends: Best of Gordon,Film,http://www.imdb.com/title/tt0423371/,2004
tt0422135,Alec Baldwin,actor,Dreams & Giants,Film,http://www.imdb.com/title/tt0422135/,2003
tt0312528,Alec Baldwin,actor,The Cat in the Hat,Film,http://www.imdb.com/title/tt0312528/,2003
tt2234564,Alec Baldwin,actor,Thomas and Friends: Thomas's Snowy Surprise,Film,http://www.imdb.com/title/tt2234564/,2003
tt0326121,Alec Baldwin,actor,Second Nature,Film,http://www.imdb.com/title/tt0326121/,2003
tt0318374,Alec Baldwin,actor,The Cooler,Film,http://www.imdb.com/title/tt0318374/,2003
tt0180052,Alec Baldwin,actor,The Adventures of Pluto Nash,Film,http://www.imdb.com/title/tt0180052/,2002
tt0218505,Alec Baldwin,actor,Path to War,Film,http://www.imdb.com/title/tt0218505/,2002
tt0265666,Alec Baldwin,actor,The Royal Tenenbaums,Film,http://www.imdb.com/title/tt0265666/,2001
tt0173840,Alec Baldwin,actor,Final Fantasy: The Spirits Within,Film,http://www.imdb.com/title/tt0173840/,2001
tt0239395,Alec Baldwin,actor,Cats & Dogs,Film,http://www.imdb.com/title/tt0239395/,2001
tt0213149,Alec Baldwin,actor,Pearl Harbor,Film,http://www.imdb.com/title/tt0213149/,2001
tt0120202,Alec Baldwin,actor,State and Main,Film,http://www.imdb.com/title/tt0120202/,2000
tt0208629,Alec Baldwin,actor,NurembergEpisode #1.2Episode #1.1,Film,http://www.imdb.com/title/tt0208629/,2000
tt0205461,Alec Baldwin,actor,Thomas and the Magic Railroad,Film,http://www.imdb.com/title/tt0205461/,2000
tt0247279,Alec Baldwin,actor,The Democratic Promise,Film,http://www.imdb.com/title/tt0247279/,1999
tt0125971,Alec Baldwin,actor,Outside Providence,Film,http://www.imdb.com/title/tt0125971/,1999
tt0125439,Alec Baldwin,actor,Notting Hill,Film,http://www.imdb.com/title/tt0125439/,1999
tt0147599,Alec Baldwin,actor,Thick as Thieves,Film,http://www.imdb.com/title/tt0147599/,1999
tt0128137,Alec Baldwin,actor,The Confession,Film,http://www.imdb.com/title/tt0128137/,1999
tt0120749,Alec Baldwin,actor,Mercury Rising,Film,http://www.imdb.com/title/tt0120749/,1998
tt0119051,Alec Baldwin,actor,The Edge,Film,http://www.imdb.com/title/tt0119051/,1997
tt0116410,Alec Baldwin,actor,Ghosts of Mississippi,Film,http://www.imdb.com/title/tt0116410/,1996
tt0116508,Alec Baldwin,actor,Heaven's Prisoners,Film,http://www.imdb.com/title/tt0116508/,1996
tt0116731,Alec Baldwin,actor,The Juror,Film,http://www.imdb.com/title/tt0116731/,1996
tt0114565,Alec Baldwin,actor,A Streetcar Named Desire,Film,http://www.imdb.com/title/tt0114565/,1995
tt0114753,Alec Baldwin,actor,Two Bits,Film,http://www.imdb.com/title/tt0114753/,1995
tt0111143,Alec Baldwin,actor,The Shadow,Film,http://www.imdb.com/title/tt0111143/,1994
tt0109890,Alec Baldwin,actor,The Getaway,Film,http://www.imdb.com/title/tt0109890/,1994
tt0107497,Alec Baldwin,actor,Malice,Film,http://www.imdb.com/title/tt0107497/,1993
tt0104348,Alec Baldwin,actor,Glengarry Glen Ross,Film,http://www.imdb.com/title/tt0104348/,1992
tt0105165,Alec Baldwin,actor,Prelude to a Kiss,Film,http://www.imdb.com/title/tt0105165/,1992
tt0102411,Alec Baldwin,actor,The Marrying Man,Film,http://www.imdb.com/title/tt0102411/,1991
tt0099012,Alec Baldwin,actor,Alice,Film,http://www.imdb.com/title/tt0099012/,1990
tt0100143,Alec Baldwin,actor,Miami Blues,Film,http://www.imdb.com/title/tt0100143/,1990
tt0099810,Alec Baldwin,actor,The Hunt for Red October,Film,http://www.imdb.com/title/tt0099810/,1990
tt0097457,Alec Baldwin,actor,Great Balls of Fire!,Film,http://www.imdb.com/title/tt0097457/,1989
tt0096219,Alec Baldwin,actor,Talk Radio,Film,http://www.imdb.com/title/tt0096219/,1988
tt0096463,Alec Baldwin,actor,Working Girl,Film,http://www.imdb.com/title/tt0096463/,1988
tt0095593,Alec Baldwin,actor,Married to the Mob,Film,http://www.imdb.com/title/tt0095593/,1988
tt0094721,Alec Baldwin,actor,Beetlejuice,Film,http://www.imdb.com/title/tt0094721/,1988
tt0096094,Alec Baldwin,actor,She's Having a Baby,Film,http://www.imdb.com/title/tt0096094/,1988
tt0093042,Alec Baldwin,actor,"Forever, Lulu",Film,http://www.imdb.com/title/tt0093042/,1987
tt0092527,Alec Baldwin,actor,The Alamo: Thirteen Days to Glory,Film,http://www.imdb.com/title/tt0092527/,1987
