name,imdb_id,profession,abuse,victim_is_minor,deceased,source
Al Franken,nm0291253,Actor,sexual assault,0,0,http://www.kabc.com/2017/11/16/leeann-tweeden-on-senator-al-franken/
Alec Baldwin,nm0000285,Actor,violent assault,0,0,http://articles.latimes.com/1995-10-27/local/me-61811_1_alec-baldwin
Alfred Hitchcock,nm0000033,Director,sexual assault,0,1,https://www.usatoday.com/story/life/books/2016/10/31/tippi-hedren-alfred-hitchcock-the-birds-marnie-tippi/93064436/
Andrew Kreisberg,nm1132610,Producer,sexual harassment,0,0,http://www.cnn.com/2017/11/12/entertainment/andrew-kreisberg-warner-bros-supergirl-sexual-harassment/index.html
Andy Dick,nm0004873,Actor,sexual assault,0,0,http://www.nydailynews.com/entertainment/gossip/andy-dick-arrested-felony-sex-abuse-charges-west-virginia-article-1.458607
Anthony Michael Hall,nm0001309,Actor,violent assault,0,0,http://people.com/celebrity/anthony-michael-hall-sued-for-assault-and-battery-by-neighbor-after-alleged-confrontation/
Arnold Schwarzenegger,nm0000216,Actor,sexual assault,0,0,https://www.theguardian.com/world/2003/oct/03/usa.filmnews
Ben Affleck,nm0000255,Actor,sexual assault,0,0,https://www.vox.com/culture/2017/10/13/16465216/ben-affleck-harvey-weinstein-sexual-harassment
Bernardo Bertolucci,nm0000934,Director,accomplice to sexual assault,0,0,https://www.washingtonpost.com/news/arts-and-entertainment/wp/2016/12/05/why-the-last-tango-in-paris-rape-scene-is-generating-such-an-outcry-now/
Bill Cosby,nm0001070,Actor,sexual assault,0,0,https://www.thecut.com/2015/07/bill-cosbys-accusers-speak-out.html
Bill Murray,nm0000195,Actor,domestic violence,0,0,http://www.thesmokinggun.com/documents/crime/bill-murray-accused-drug-spouse-abuse
Billy Dee Williams,nm0001850,Actor,domestic violence,0,0,http://articles.latimes.com/1996-02-08/local/me-33566_1_billy-dee-williams
Brett Ratner,nm0711840,Director,sexual assault,0,0,http://www.latimes.com/business/hollywood/la-fi-ct-brett-ratner-allegations-20171101-htmlstory.html
Brian Bonsall,nm0095176,Actor,domestic violence,0,0,http://www.coloradodaily.com/ci_13945077
Bryan Singer,nm0001741,Director,sexual assault,0,0,http://www.hollywoodreporter.com/news/bryan-singer-sex-abuse-case-699828
Carmen Electra,nm0001182,Actor,domestic violence,0,0,https://pagesix.com/2014/10/21/carmen-electras-marriage-to-dennis-rodman-was-the-worst/
