person_id,name,gender,abuser_project_count
10000,Gregory Sporleder,2,6
10001,William Wyler,2,1
1000228,Jerry Haleva,2,1
100040,Carol Dempster,1,1
100053,Mario Caiano,2,1
100054,Maurizio Lucidi,0,1
100055,Barbara De Rossi,0,1
100056,Anne Knecht,0,1
100057,Elvire Audray,1,1
100058,Clara Colosimo,1,2
100059,David Levinson,2,1
100062,Del Zamora,2,1
100085,Paul Kasey,0,1
1000883,John Rue,2,1
1000984,Stefan Shterev,0,1
1001011,John Vosper,0,1
100106,Lou Bonacki,2,2
1001076,Mostéfa Stiti,0,1
100127,Tarako,1,1
100129,Eve March,1,1
100142,Ken Abraham,2,1
1001657,Sophie Turner,1,4
1001661,Nick Spicer,0,2
1001667,Verdi Solaiman,0,1
1001673,Scott Prisand,0,1
1001674,Matt Weaver,0,1
1001687,Aaron Munoz,0,1
10017,Charlton Heston,2,4
1001705,Remington Chase,0,3
1001722,Michelle Ehlen,1,1
1001736,Mandela Van Peebles,2,1
1001769,Eric Benet,2,1
1001770,Dave Vescio,2,1
1001775,Tonya Bludsworth,0,1
1001793,Jenner Furst,0,1
1001794,Daniel Levin,0,1
1001797,Julia Willoughby Nason,0,1
1001799,Jenner Furst,0,1
10018,Jack Hawkins,2,1
1001821,Jerry Kernion,0,2
1001947,Rachel G. Fox,0,2
1001970,Adam Cockburn,0,1
10020,Stephen Boyd,2,2
1002061,Caspar Wrede,0,1
10021,Hugh Griffith,2,1
1002129,Zoltan Buday,2,1
100214,Peter Maris,2,1
1002203,Shawn Devorse,0,1
100230,Mickey Jones,2,2
1002306,Rob Steinberg,2,1
1002398,Dan Farah,2,1
100243,Dudley Digges,2,1
100244,Otto Matieson,2,2
100245,Walter Long,2,2
10025,Frank Thring,0,1
10026,Ady Berber,2,2
1002652,Dennis Berardi,2,1
10029,André Morell,2,3
1002979,Amber Cull,1,1
1003,Jean Reno,2,3
1003014,Andrew Gernhard,2,1
1003061,Krystal Ellsworth,1,3
100309,Vicente Roca,0,1
1003143,Robert Agnew,2,1
1003161,Michael William Arnold,2,1
100318,James Darren,2,1
100319,Manfred Mann,0,1
1003232,Jerzy Stefan Stawiński,2,1
1003248,Troye Sivan,0,1
1003386,Samuel Jones III,2,1
100346,Claude King,2,1
1003527,Ronnie Hadar,2,1
1003545,Karen King,1,1
1003550,Peter Kosaka,2,1
100369,John Eyres,0,1
100373,Daniella Evangelista,1,1
1003801,Ciara Hanna,1,1
1003843,Stephanie Allynne,1,1
100395,Josie Bissett,1,1
1004,Danny Aiello,2,9
1004150,Wesley Barry,0,1
1004156,Gary Rodriguez,2,1
100416,Armando Novelli,0,1
100418,Ned Romero,2,1
1004223,Eleanor Clift,0,1
100446,Suzanne Solari,0,1
100461,Nicholas Worth,2,2
1004624,Russell Bobbitt,0,1
100463,Cliff Bemis,2,1
1004669,Scott Holden,2,1
1004707,Paul Roe,0,1
1004835,Jeremy Dawson,0,2
1004836,Steven M. Rales,0,3
1004839,Cindy Lucas,1,1
1004848,Tyler Maddox-Simms,0,1
100485,Tony Markes,0,1
1004850,Caroline Whitney Smith,1,1
1004858,Stephanie Rhodes,0,1
100492,Matt Devlen,0,1
1005,Peter Appel,2,2
100503,Raymond Martino,2,1
1005130,Marcus Jean Pirae,2,1
100518,Kate Fischer,0,1
100552,Mary Woronov,1,2
1005536,Allan Warnick,0,1
100555,Johnny Legend,0,1
100557,Wayne Crawford,2,1
100558,Andrew Lane,2,2
100560,Louisa Moritz,1,1
100567,Kerry O'Malley,0,2
100568,Erika Carlsson,0,1
1005698,Sarah Cahill,1,1
1005829,Lamberto Gutierrez,2,1
1005852,Janelle Monae,1,1
100586,Jon Foo,2,2
1005864,Judy Durning,1,1
100589,John Sutton,2,1
1005913,Kamala Jones,1,1
100595,Albert Conti,2,2
100598,Tracy Vaccaro,1,1
100601,Audrey Landers,1,1
100602,Julia Duffy,1,1
1006035,Armida,1,2
100604,Dennis Bowen,2,1
1006058,Valentin Teodosiu,0,1
1006105,Alain Zaloum,0,3
1006136,David Cale,0,1
100614,Jim McKrell,2,1
1006144,Vic Browder,2,2
1006221,John C. Champion,2,1
100626,Brad Rearden,0,1
100631,Douglas S. Cramer,2,1
100634,Jo Ann Harris,1,1
1006444,Donann Cavin,0,1
100646,William Bumiller,2,1
100647,Shari Shattuck,1,1
100650,Francis X. McCarthy,2,3
100653,Vanessa Bell Calloway,1,4
1006733,Tara Holt,1,1
1006742,Brad Slaughter,0,1
1006770,Betty McDowall,0,1
10068,Akiko Wakabayashi,1,2
100680,Renzo Marignano,2,1
100681,Orchidea de Santis,1,1
100690,José Marco,2,1
100696,Verónica Luján,0,1
1007,Don Creech,2,3
10070,Mie Hama,0,3
10071,Tetsurō Tamba,2,1
10072,Teru Shimada,2,2
10073,Karin Dor,1,1
100734,Johannes Roberts,2,1
1007395,J.J. Makaro,2,1
10074,Charles Gray,2,2
10075,Tsai Chin,1,3
1007561,Michael Forest,2,1
10076,Lewis Gilbert,2,1
100763,Billy Bevan,0,2
1007654,Nimponth Chaisirikul,0,1
100767,Kathryn Adams,1,1
1007683,Jack Reynor,2,1
1007692,Melinda Armstrong,0,1
10077,Harold Jack Bloom,2,1
1007737,Andrzej Kostenko,0,1
100781,Isabel Jeans,1,2
100782,Auriol Lee,0,1
100784,Ann Todd,1,1
100799,George Sawaya,2,1
10080,JoBeth Williams,1,4
1008234,Bethany Hamilton,1,1
10083,Beatrice Straight,1,2
100853,Santiago Álvarez,0,1
1008543,Giorgio Caputo,0,1
1008676,Joann Richter,1,1
100870,Jill Schoelen,1,2
100871,Charles Lanyer,2,1
1008727,Ethan S. Smith,0,1
100874,Lindsay Bourne,2,1
1008750,Niko Nicotera,2,1
10090,Richard Lawson,2,2
100901,José María Caffarel,0,1
10091,Zelda Rubinstein,1,1
1009160,Quinn McColgan,1,1
1009255,Jason Trost,0,1
1009275,Emilie Jo Tisdale,0,1
100930,Lorenzo Robledo,0,3
1009310,Brett Heard,2,1
100937,Franco Diogene,2,1
1009511,Rico Simonini,2,1
100956,Goffredo Unger,2,3
100968,Teagan Clive,1,1
100970,Dee Hengstler,0,1
1009769,Stephen Brown,0,1
100981,John Kohn,2,1
100993,Lynette Bernay,1,1
100996,Bart Patton,0,1
1009966,Anna Appel,0,1
101,Leonor Watling,1,1
1010055,Glenn Conroy,0,1
101014,Beatrice Rosen,1,1
1010144,Alice Day,1,1
101015,Chin Han,2,1
1010189,Adan Canto,2,1
101026,Rene Rivera,2,2
101034,Kerry Shale,2,1
101037,Christopher Maleki,2,2
101045,Jennifer Siebel Newsom,1,2
101054,Willow Hale,0,1
101060,Danielle Nicolet,1,2
1010628,Wanda Tuchock,1,1
101071,Evalena Marie,0,1
1010811,Lillian Tillegreen,0,1
1010819,Elham Ehsas,0,1
101088,Matt Lasky,2,1
1010912,Tim Downie,2,3
1010922,Mark Underwood,2,1
1011000,Gudrun Giddings,1,1
1011002,Justin Steele,2,1
101108,Alberto De Martino,2,1
101110,Giovanni Grimaldi,0,1
1011103,William Peltz,2,1
10112,Yoo Ji-tae,2,1
1011256,Brad Marlowe,2,1
101127,Maria Pia Conte,1,1
101165,Daniel Sauli,2,1
1011669,Takumi Bando,2,2
101168,Seth Adam Jones,0,1
101172,Michael Cavanaugh,2,2
10118,Kenny Bates,0,1
10119,Scott Gardenhour,0,2
101201,Luciano Bartoli,0,1
1012022,Joshua Zetumer,0,2
1012037,Sarah Y. Mason,1,1
