person_id,name,gender
nm0000329,Jackie Chan,2
nm0000230,Sylvester Stallone,2
nm0000155,Whoopi Goldberg,1
nm0001385,Eric Idle,2
nm0641939,Ryan O'Neal,2
nm0004839,Coolio,2
nm0195982,Chuck D.,2
nm0420732,Richard Jeni,2
nm0005462,Leslie Stefanson,1
nm0005544,Harvey Weinstein,2
nm0000928,Sandra Bernhard,1
nm0526724,Cherie Lunghi,1
nm0005457,Dina Spybey-Waters,0
nm0000671,Billy Bob Thornton,2
nm0000647,Alan Smithee,0
,Arthur Hiller,2
nm0001626,Christopher Plummer,2
nm0098014,Tom Bosley,2
nm0331319,Frank Gorshin,2
nm0709704,Tony Randall,2
nm0430234,Daniel Jordano,0
nm0671992,Matthew Penn,2
nm0335523,Leon W. Grant,2
nm0911719,Mary B. Ward,0
nm0000673,Marisa Tomei,1
nm0047815,Jimmy Baio,2
nm0332390,Harold Gould,2
nm0369541,Kim Hauser,0
nm0589628,Robert Milli,0
nm0428438,John Randolph Jones,2
nm0918424,Bob Weinstein,2
nm1212722,Benedict Cumberbatch,2
nm0788335,Michael Shannon,2
nm0396558,Nicholas Hoult,2
nm2239702,Katherine Waterston,1
nm4043618,Tom Holland,2
nm0532193,Matthew Macfadyen,2
nm3095562,Tuppence Middleton,1
nm3729877,Damien Molony,0
nm2736817,Conor MacNeill,0
nm0427714,Celyn Jones,2
nm1134945,John Schwab,0
nm0004234,Alfonso Gomez-Rejon,0
nm2276729,Michael Mitnick,0
nm1440825,Garrett Basch,0
nm0067457,Timur Bekmambetov,2
nm0412588,Basil Iwanyk,2
nm0001873,Steven Zaillian,2
nm0186505,Bryan Cranston,2
nm0366389,Kevin Hart,2
nm0000173,Nicole Kidman,1
nm0000523,Julianna Margulies,1
nm3813115,Aja Naomi King,1
nm0267042,Golshifteh Farahani,1
nm3017448,Genevieve Angelson,0
nm0767929,Suzanne Savoy,1
nm5846654,Rachel Alana Handler,0
nm1987331,Pia Mechler,1
nm1139726,Neil Burger,2
nm0085542,Todd Black,2
nm0089820,Jason Blumenthal,2
nm2539953,Alicia Vikander,1
nm2851530,Dane DeHaan,2
nm0001132,Judi Dench,1
