moviedb_id,imdb_id
57345,nm0309348
2,nm0000434
3,nm0000148
4,nm0000402
122889,nm2851530
8205,nm0344276
90130,nm0039148
18,nm0004951
8213,nm0730168
65559,nm0783346
65562,nm0341431
29,nm0005494
8224,nm0566680
33,nm0000641
32,nm0000705
8229,nm0001792
1204264,nm3090492
1228841,nm0402742
1286190,nm2208196
49,nm0004742
48,nm0000293
57395,nm0000449
52,nm0001556
53,nm0001780
54,nm0747687
32823,nm0121972
41019,nm0280409
62,nm0000246
65,nm0000453
66,nm0000676
1007683,nm2930503
1048644,nm2497366
1187909,nm0703315
1237062,nm0750764
1622087,nm6119252
65602,nm0691194
16460,nm0114177
24657,nm0001874
8275,nm0292390
57428,nm0484678
85,nm0000136
1278038,nm0807196
98394,nm1649714
16476,nm0236952
1286238,nm3409275
98399,nm0428382
16478,nm0301959
16483,nm0000230
16484,nm0000725
8293,nm0182839
16486,nm0854772
102,nm0001323
98408,nm1271019
73833,nm0954848
108,nm0001392
109,nm0000704
57454,nm1189755
110,nm0001557
112,nm0000949
113,nm0000489
114,nm0089217
8303,nm0138502
172150,nm0542022
122999,nm1675336
16502,nm0400625
123,nm0651614
126,nm0909638
57471,nm0549682
128,nm0101991
196737,nm0022872
32897,nm0878155
131,nm0350453
41091,nm1325419
8329,nm0593664
138,nm0000233
139,nm0000235
8332,nm0390229
141,nm0001016
140,nm0005154
147,nm0000514
1269910,nm0387395
65703,nm0332069
131240,nm0549603
65704,nm0523198
1466540,nm3813298
41139,nm0944003
188600,nm0603417
65731,nm0941777
204997,nm0355632
49349,nm0185987
202,nm0442109
204,nm0000701
8396,nm0001474
8399,nm0265457
49360,nm0193135
8403,nm0002376
82132,nm0694551
82133,nm0002833
82134,nm0309995
82135,nm1859485
82136,nm0954999
82137,nm1922377
82138,nm0332917
32987,nm0727165
82139,nm0371588
82140,nm1349097
82141,nm0220198
65753,nm0764552
188634,nm0192056
57561,nm0131947
32990,nm0860724
32989,nm0370410
228,nm0000438
82149,nm2736817
229,nm0534132
227,nm0000458
57579,nm0740400
237,nm0222593
8432,nm0366179
21215,nm0005264
65782,nm0443486
1155321,nm2062601
590074,nm0439563
565498,nm0147312
1007869,nm0790714
73981,nm0536597
57599,nm0005405
8448,nm0289221
41217,nm0098014
229634,nm0273797
41218,nm0001902
106753,nm1444462
1212688,nm0935589
49425,nm0001272
65811,nm0152313
1196309,nm0124974
286,nm0680595
287,nm0000093
41247,nm0137230
289,nm0000656
290,nm0001626
291,nm0331319
65827,nm0202966
197073,nm0674229
1040679,nm1485940
65831,nm0489436
49458,nm0096613
1515827,nm4421498
16697,nm0291599
16702,nm0365317
229695,nm0444096
321,nm0106835
322,nm0326512
1319235,nm3710855
65859,nm0003355
327,nm0001616
328,nm0005261
57674,nm0891786
57675,nm0754512
123212,nm0718704
49486,nm1013098
