link_id,link,person_id,name,imdb_id,title,year,url,moviedb_id,moviedb_person_id
nm0005544,Harvey Weinstein,nm0000329,Jackie Chan,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,18897
nm0005544,Harvey Weinstein,nm0000230,Sylvester Stallone,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,16483
nm0005544,Harvey Weinstein,nm0000155,Whoopi Goldberg,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,2395
nm0005544,Harvey Weinstein,nm0001385,Eric Idle,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,10713
nm0005544,Harvey Weinstein,nm0641939,Ryan O'Neal,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,31070
nm0005544,Harvey Weinstein,nm0004839,Coolio,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,35549
nm0005544,Harvey Weinstein,nm0195982,Chuck D.,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,61109
nm0005544,Harvey Weinstein,nm0420732,Richard Jeni,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,53402
nm0005544,Harvey Weinstein,nm0005462,Leslie Stefanson,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,21474
nm0005544,Harvey Weinstein,nm0005544,Harvey Weinstein,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,59839
nm0005544,Harvey Weinstein,nm0000928,Sandra Bernhard,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,3664
nm0005544,Harvey Weinstein,nm0526724,Cherie Lunghi,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,20768
nm0005544,Harvey Weinstein,nm0005457,Dina Spybey-Waters,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,56567
nm0005544,Harvey Weinstein,nm0000671,Billy Bob Thornton,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,879
nm0005544,Harvey Weinstein,nm0000647,Alan Smithee,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,55948
nm0005544,Harvey Weinstein,,Arthur Hiller,tt0118577,An Alan Smithee Film: Burn Hollywood Burn,1997,http://www.imdb.com/title/tt0118577/,78149,133259
nm0005544,Harvey Weinstein,nm0001626,Christopher Plummer,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,290
nm0005544,Harvey Weinstein,nm0098014,Tom Bosley,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,41217
nm0005544,Harvey Weinstein,,Bob Elliott,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,178232
nm0005544,Harvey Weinstein,,Ray Goulding,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,178233
nm0005544,Harvey Weinstein,nm0331319,Frank Gorshin,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,291
nm0005544,Harvey Weinstein,nm0709704,Tony Randall,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,40206
nm0005544,Harvey Weinstein,,Claudio Biern Boyd,tt0271527,The Gnomes' Great Adventure,1987,http://www.imdb.com/title/tt0271527/,101538,1026316
nm0005544,Harvey Weinstein,nm0430234,Daniel Jordano,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123875
nm0005544,Harvey Weinstein,nm0671992,Matthew Penn,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123895
nm0005544,Harvey Weinstein,nm0335523,Leon W. Grant,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123896
nm0005544,Harvey Weinstein,nm0911719,Mary B. Ward,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123897
nm0005544,Harvey Weinstein,nm0000673,Marisa Tomei,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,3141
nm0005544,Harvey Weinstein,nm0047815,Jimmy Baio,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123898
nm0005544,Harvey Weinstein,nm0332390,Harold Gould,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,14833
nm0005544,Harvey Weinstein,nm0369541,Kim Hauser,tt0091767,Playing for Keeps,1986,http://www.imdb.com/title/tt0091767/,40227,123899
