person_id,name,gender,film_counts,weinstein_project_counts,weinstein_percentage,is_abuser
nm0000047,Sophia Loren,1,93,1,1.08,0
nm0000056,Paul Newman,2,65,1,1.54,0
nm0000093,Brad Pitt,2,87,3,3.45,0
nm0000096,Gillian Anderson,1,32,1,3.1199999999999997,0
nm0000097,Pamela Anderson,1,26,1,3.85,0
nm0000099,Patricia Arquette,1,48,2,4.17,0
nm0000103,Fairuza Balk,1,40,1,2.5,0
nm0000104,Antonio Banderas,2,97,3,3.09,0
nm0000106,Drew Barrymore,1,63,4,6.35,0
nm0000111,Matthew Broderick,2,60,1,1.67,0
nm0000112,Pierce Brosnan,2,76,1,1.32,0
nm0000114,Steve Buscemi,2,121,4,3.3099999999999996,0
nm0000117,Neve Campbell,1,37,2,5.41,0
nm0000118,John Carpenter,2,45,1,2.22,0
nm0000123,George Clooney,2,74,4,5.41,0
nm0000127,Wes Craven,2,59,4,6.78,0
nm0000129,Tom Cruise,2,54,1,1.8499999999999999,0
nm0000130,Jamie Lee Curtis,1,58,1,1.72,0
nm0000131,John Cusack,2,81,1,1.23,0
nm0000132,Claire Danes,1,31,1,3.2300000000000004,0
nm0000134,Robert De Niro,2,119,3,2.52,0
nm0000136,Johnny Depp,2,70,1,1.43,1
nm0000138,Leonardo DiCaprio,2,54,1,1.8499999999999999,0
nm0000139,Cameron Diaz,1,46,1,2.17,0
nm0000141,David Duchovny,2,48,1,2.08,0
nm0000146,Ralph Fiennes,2,58,2,3.45,0
nm0000147,Colin Firth,2,80,2,2.5,0
nm0000148,Harrison Ford,2,59,1,1.69,0
nm0000152,Richard Gere,2,57,1,1.7500000000000002,0
nm0000155,Whoopi Goldberg,1,120,1,0.83,0
nm0000159,Teri Hatcher,1,29,2,6.9,0
nm0000160,Ethan Hawke,2,72,1,1.39,0
nm0000161,Salma Hayek,1,56,1,1.79,0
nm0000163,Dustin Hoffman,2,68,1,1.47,1
nm0000164,Anthony Hopkins,2,106,1,0.9400000000000001,0
nm0000168,Samuel L. Jackson,2,138,5,3.62,0
nm0000171,Ashley Judd,1,44,1,2.27,0
nm0000172,Harvey Keitel,2,132,2,1.52,0
nm0000173,Nicole Kidman,1,77,6,7.79,0
nm0000178,Diane Lane,1,59,1,1.69,0
nm0000179,Jude Law,2,59,1,1.69,0
nm0000182,Jennifer Lopez,1,42,1,2.3800000000000003,0
nm0000183,Traci Lords,1,126,1,0.79,0
nm0000189,Jenny McCarthy,1,22,1,4.55,0
nm0000190,Matthew McConaughey,2,51,1,1.96,0
nm0000191,Ewan McGregor,2,69,5,7.249999999999999,0
nm0000193,Demi Moore,1,54,1,1.8499999999999999,0
nm0000194,Julianne Moore,1,75,1,1.3299999999999998,0
nm0000196,Mike Myers,2,36,1,2.78,0
nm0000197,Jack Nicholson,2,68,1,1.47,1
nm0000200,Bill Paxton,2,76,2,2.63,0
nm0000204,Natalie Portman,1,47,2,4.26,0
nm0000207,Christina Ricci,1,54,1,1.8499999999999999,0
nm0000210,Julia Roberts,1,57,3,5.26,0
nm0000212,Meg Ryan,1,41,3,7.32,0
nm0000215,Susan Sarandon,1,116,1,0.86,0
nm0000217,Martin Scorsese,2,103,1,0.97,0
nm0000218,Kristin Scott Thomas,1,78,3,3.85,0
nm0000227,Mira Sorvino,1,73,2,2.74,0
nm0000228,Kevin Spacey,2,76,1,1.32,1
nm0000230,Sylvester Stallone,2,75,4,5.33,1
nm0000232,Sharon Stone,1,79,1,1.27,0
nm0000233,Quentin Tarantino,2,45,6,13.33,0
nm0000234,Charlize Theron,1,51,1,1.96,0
nm0000235,Uma Thurman,1,53,3,5.66,0
nm0000237,John Travolta,2,64,1,1.5599999999999998,1
nm0000239,Liv Tyler,1,30,2,6.67,0
nm0000240,Skeet Ulrich,2,32,1,3.1199999999999997,0
nm0000243,Denzel Washington,2,55,1,1.82,0
nm0000245,Robin Williams,2,85,1,1.18,0
nm0000246,Bruce Willis,2,99,2,2.02,0
nm0000249,James Woods,2,101,1,0.9900000000000001,1
nm0000250,RenÌ©e Zellweger,1,42,2,4.760000000000001,0
nm0000255,Ben Affleck,2,66,5,7.580000000000001,1
nm0000257,Alan Alda,2,47,1,2.13,0
nm0000270,Gabrielle Anwar,1,45,1,2.22,0
nm0000274,David Arquette,2,82,3,3.66,0
nm0000276,Sean Astin,2,91,2,2.1999999999999997,0
nm0000288,Christian Bale,2,48,2,4.17,1
nm0000289,Ellen Barkin,1,58,1,1.72,0
nm0000293,Sean Bean,2,87,3,3.45,0
nm0000299,Michael Biehn,2,92,1,1.09,0
nm0000300,Juliette Binoche,1,70,2,2.86,0
nm0000301,Thora Birch,1,33,1,3.0300000000000002,0
